$contributor.employer.matched
                                                   (Intercept)    cycle2020
AIR INDUSTRIES GROUP                             -0.2458201776 0.0004838053
AIR METHODS CORP                                  0.0943708204 0.0004838053
Air Products & Chemicals, Inc.                   -0.1904344918 0.0004838053
AIR T INC                                        -0.1812165422 0.0004838053
Airbnb, Inc.                                     -0.2430081046 0.0004838053
Airborne Systems NA Inc.                         -0.1461243119 0.0004838053
Airborne Systems North America of CA Inc.        -0.2314339359 0.0004838053
Aircastle LTD                                    -0.4523101090 0.0004838053
AIRCRAFT SERVICE INTERNATIONAL GROUP INC         -0.4262535331 0.0004838053
AIRGAIN INC                                      -0.0887250146 0.0004838053
AIRGAS INC                                       -0.1552944035 0.0004838053
AIRNET SYSTEMS INC                               -0.0204022264 0.0004838053
AIRPORT HOTELS LLC                               -0.1873628593 0.0004838053
AIRSPAN NETWORKS INC                              0.2868764711 0.0004838053
AIRTRAN AIRWAYS INC                              -0.4079902621 0.0004838053
AIRVANA INC                                      -0.2092439790 0.0004838053
AIRWAVES INC                                     -0.2103636294 0.0004838053
AIRWAYS CORP                                     -0.2694210368 0.0004838053
AIRXCEL INC                                      -0.0025206105 0.0004838053
Ajinomoto Co Inc                                 -0.0605106276 0.0004838053
AK STEEL CORP                                    -0.2492294798 0.0004838053
AKAMAI TECHNOLOGIES INC                          -0.2560548748 0.0004838053
AKANDA CORP.                                     -0.1847123413 0.0004838053
Akari Therapeutics Plc                           -0.1383644324 0.0004838053
AKCEA THERAPEUTICS, INC.                         -0.2380451121 0.0004838053
Akebia Therapeutics, Inc.                         0.0408952711 0.0004838053
Akero Therapeutics, Inc.                         -0.1968625220 0.0004838053
AKI INC                                          -0.2204286181 0.0004838053
Akili, Inc.                                      -0.1946432584 0.0004838053
AKORN INC                                        -0.2463151417 0.0004838053
Akouos, Inc.                                     -0.2209814161 0.0004838053
Akoya Biosciences, Inc.                          -0.2707292680 0.0004838053
Akrion, Inc.                                     -0.0509923100 0.0004838053
Akston Biosciences Corp                           0.4313928367 0.0004838053
Aktis Oncology, Inc.                             -0.2233472433 0.0004838053
AKUMIN INC.                                      -0.2875986885 0.0004838053
AKZO NOBEL NV                                    -0.2225035031 0.0004838053
AL ENTERTAINMENT INC                             -0.0742719060 0.0004838053
ALABAMA POWER CO                                 -0.0577467931 0.0004838053
ALABASTER CORP                                   -0.2490674469 0.0004838053
Alamar Biosciences, Inc.                         -0.2342834851 0.0004838053
ALAMO FINANCIAL SERVICES INC                     -0.2629868107 0.0004838053
ALAMO GROUP INC                                   0.1908879786 0.0004838053
ALAMO RENT A CAR INC                             -0.1645438078 0.0004838053
Alarum Technologies Ltd.                         -0.1894015075 0.0004838053
ALASKA AIR GROUP, INC.                           -0.0739843889 0.0004838053
ALASKA AIRLINES INC                              -0.1556923518 0.0004838053
ALBANY MOLECULAR RESEARCH INC                    -0.2014026167 0.0004838053
ALBEMARLE CORP                                   -0.1721798634 0.0004838053
Albertsons Companies, Inc.                       -0.2550042507 0.0004838053
ALBIREO PHARMA, INC.                             -0.1759049603 0.0004838053
ALC COMMUNICATIONS CORP                          -0.2279334525 0.0004838053
ALCAN INC                                        -0.1140397576 0.0004838053
ALCATEL LUCENT                                   -0.2126293588 0.0004838053
ALCATEL-LUCENT USA INC.                          -0.2667114386 0.0004838053
Alchemia LTD                                     -0.1898822270 0.0004838053
ALCO STORES INC                                  -0.1313444559 0.0004838053
ALCO, INC.                                       -0.1165899147 0.0004838053
Alcoa Corp                                       -0.3198355414 0.0004838053
ALCON INC                                        -0.2352302810 0.0004838053
ALDER BIOPHARMACEUTICALS INC                     -0.3056263191 0.0004838053
Aldeyra Therapeutics, Inc.                       -0.1595810469 0.0004838053
Alector, Inc.                                    -0.1071297265 0.0004838053
ALERE INC.                                       -0.2194203935 0.0004838053
ALERE WELLBEING, INC.                            -0.1597082726 0.0004838053
Aleris Corp                                      -0.0144610884 0.0004838053
Aleris International, Inc.                        0.9786600844 0.0004838053
AlerisLife Inc.                                  -0.1929731043 0.0004838053
ALERUS FINANCIAL CORP                            -0.1162106990 0.0004838053
Alexander & Baldwin, Inc.                         0.0355802170 0.0004838053
ALEXANDERS INC                                   -0.3787219005 0.0004838053
ALEXANDRIA REAL ESTATE EQUITIES, INC.             0.3180177520 0.0004838053
ALEXION PHARMACEUTICALS, INC.                    -0.2416964877 0.0004838053
ALFA CORP                                         0.0464231193 0.0004838053
Alfi, Inc.                                        0.0450824634 0.0004838053
Alibaba Group Holding Ltd                        -0.2883820724 0.0004838053
ALIBRIS INC                                      -0.2813563081 0.0004838053
ALICO, INC.                                       0.0490913614 0.0004838053
Alien Technology Corp                             0.0936631109 0.0004838053
ALIGN TECHNOLOGY INC                             -0.1808010660 0.0004838053
Alignment Healthcare, Inc.                        0.1004403195 0.0004838053
Aligos Therapeutics, Inc.                        -0.3603409373 0.0004838053
ALIMENTATION COUCHE TARD INC                      1.2724247822 0.0004838053
ALIMERA SCIENCES INC                              0.2881133816 0.0004838053
ALJ REGIONAL HOLDINGS INC                         0.1909115886 0.0004838053
ALKAMI TECHNOLOGY, INC.                          -0.2761181811 0.0004838053
ALKERMES INC                                     -0.1133209590 0.0004838053
ALLAIRE CORP                                     -0.1768631397 0.0004838053
Allakos Inc.                                     -0.3993732225 0.0004838053
ALLBRITTON COMMUNICATIONS CO                     -0.0951996708 0.0004838053
ALLEGIANCE CORP                                  -0.3124334206 0.0004838053
ALLEGIANCY, LLC                                   0.1251313611 0.0004838053
Allegiant Travel CO                               0.4404373038 0.0004838053
Allegion plc                                     -0.2276845695 0.0004838053
ALLEGRO MICROSYSTEMS, INC.                       -0.0439287580 0.0004838053
Allegro Ophthalmics, LLC                         -0.0979908196 0.0004838053
ALLEN ENERGY CO                                   1.3131871789 0.0004838053
ALLEN ORGAN CO                                   -0.0265483280 0.0004838053
Allena Pharmaceuticals, Inc.                     -0.2298021739 0.0004838053
ALLERGAN INC                                     -0.1617696533 0.0004838053
ALLERGY RESEARCH GROUP INC                       -0.1723260034 0.0004838053
ALLETE INC                                       -0.1835264089 0.0004838053
ALLIANCE ENTERTAINMENT CORP                      -0.3379403812 0.0004838053
ALLIANCE FINANCIAL CORP                          -0.2632763855 0.0004838053
ALLIANCE HEALTH INC                              -0.2450532770 0.0004838053
Alliance HealthCare Services, Inc                -0.3384187626 0.0004838053
ALLIANCE HOLDING CO                              -0.4980728814 0.0004838053
ALLIANCE LAUNDRY CORP                             0.0249139378 0.0004838053
ALLIANCE LAUNDRY SYSTEMS LLC                      0.0140485524 0.0004838053
