$contributor.employer.matched
                                              (Intercept)  cycle2020
CONCUR TECHNOLOGIES INC                     -0.5829722587 0.07838961
CONCURRENT COMPUTER CORP                    -0.7093274204 0.07838961
CONEXANT SYSTEMS INC                        -0.1016366569 0.07838961
Confluent, Inc.                             -0.4456864227 0.07838961
CONNECTED CORP                              -0.4780921049 0.07838961
CONNECTURE INC                              -0.6209522406 0.07838961
Consensus Cloud Solutions, Inc.             -0.5080344340 0.07838961
CONSILIUM INC                               -0.5070231146 0.07838961
CONSTELLATION SOFTWARE INC                  -0.4056251785 0.07838961
CONTINUUM CO INC                            -0.5795254208 0.07838961
CONTROL DEVICES INC                          0.4089682767 0.07838961
CONTROL4 CORP                               -0.5149003632 0.07838961
CONVERA Corp                                -0.5009992940 0.07838961
ConvergeOne Holdings, Inc.                  -0.3534007896 0.07838961
CONVERGEX INC.                              -0.4814677593 0.07838961
Convio, Inc.                                -0.4816762648 0.07838961
COORSTEK INC                                -0.5009201531 0.07838961
CORAL SYSTEMS INC                           -0.4650038764 0.07838961
CORCOM INC                                  -0.5091154451 0.07838961
CoreCard Corp                               -0.5838644680 0.07838961
COREL CORP                                  -0.4348190745 0.07838961
CoreWeave, Inc.                             -0.4459441608 0.07838961
Cornerstone OnDemand Inc                    -0.4747682682 0.07838961
Corridor Communications Corp                -0.5136840376 0.07838961
Corsair Components, Inc.                    -0.5834974380 0.07838961
Corsair Gaming, Inc.                        -0.5089129671 0.07838961
CORTINA SYSTEMS INC                         -0.4905736707 0.07838961
Couchbase, Inc.                             -0.4820113985 0.07838961
COUNTERPATH CORP                            -0.4846969079 0.07838961
Coupa Software Inc                          -0.3745763270 0.07838961
Coursera, Inc.                              -0.4783375403 0.07838961
CPI INTERNATIONAL, INC.                     -0.5607825537 0.07838961
CRAY COMPUTER CORP                          -0.4322836918 0.07838961
CRAY INC                                    -0.4546428857 0.07838961
CREATIVE REALITIES, INC.                    -0.4418897155 0.07838961
CREATIVE TECHNOLOGY LTD                     -0.5459901417 0.07838961
Cross Match Technologies, Inc.              -0.3913162416 0.07838961
CROSSCOMM CORP                              -0.4388079192 0.07838961
CROSSROADS SYSTEMS INC                      -0.0150969110 0.07838961
CROSSWORLDS SOFTWARE INC                    -0.0361565974 0.07838961
CrowdStrike Holdings, Inc.                  -0.4974254504 0.07838961
Crown Electrokinetics Corp.                 -0.3171002369 0.07838961
CS Disco, Inc.                              -0.5171554032 0.07838961
CSI TECHNOLOGIES INC                        -0.6742374071 0.07838961
CSRA Inc.                                   -0.5727058971 0.07838961
CTS CORP                                    -0.3465179966 0.07838961
CVC INC                                     -0.2451734076 0.07838961
CVENT INC                                   -0.5312099123 0.07838961
CYAN INC                                    -0.1725867447 0.07838961
CyberArk Software Ltd.                      -0.4034900807 0.07838961
CYBERLUX CORP                                0.1067727409 0.07838961
Cycurion, Inc.                              -0.4716977764 0.07838961
CYNET INC                                   -0.5000720653 0.07838961
Cyngn Inc.                                  -0.4435807136 0.07838961
CYREN Ltd.                                  -0.5559150837 0.07838961
Cyxtera Technologies, Inc.                  -0.4542090489 0.07838961
DAEGIS INC.                                 -0.5413005234 0.07838961
DANGER INC                                  -0.5288085792 0.07838961
DAS Inc                                     -0.5011659557 0.07838961
DATA DIMENSIONS INC                         -0.4013460713 0.07838961
Data443 Risk Mitigation, Inc.               -0.3668880473 0.07838961
DATACARD CORP                               -0.2853188331 0.07838961
Datadog, Inc.                               -0.5069904670 0.07838961
DATALINK CORP                               -0.5572256294 0.07838961
DATAMETRICS CORP                             0.0092213233 0.07838961
DATAPATH INC                                -0.5098903543 0.07838961
DataStax, Inc.                              -0.5221669255 0.07838961
DATATEC SYSTEMS INC                         -0.6788442752 0.07838961
DATATRAK INTERNATIONAL INC                  -0.4611017945 0.07838961
DATAWATCH CORP                              -0.4566478993 0.07838961
DATAWORKS CORP                              -0.6123018515 0.07838961
DAVIDSON & ASSOCIATES INC                   -0.1683439440 0.07838961
Dayforce, Inc.                              -0.5170386444 0.07838961
DDI CORP                                    -0.4888183164 0.07838961
Dealertrack Technologies, Inc               -0.5716781333 0.07838961
DecisionPoint Systems, Inc.                  0.0358103543 0.07838961
Definitive Healthcare Corp.                 -0.5101383670 0.07838961
DELL INC                                    -0.4486262077 0.07838961
Dell Technologies Inc.                      -0.3896220767 0.07838961
DeltaSoft Corp                              -0.3822963429 0.07838961
DELTEK, INC                                 -0.5420413723 0.07838961
DemandTec, Inc.                             -0.3495927696 0.07838961
Demandware Inc                              -0.5064994814 0.07838961
DESCARTES SYSTEMS GROUP INC                 -0.4848901882 0.07838961
DETAILS INC                                 -0.6268227757 0.07838961
DETERMINE, INC.                             -0.5246347677 0.07838961
DIALOG SEMICONDUCTOR PLC                     0.0921205805 0.07838961
DIALOGIC CORP                               -0.1592472429 0.07838961
