$contributor.employer.matched
                                              (Intercept)  cycle2020
DATATEC SYSTEMS INC                         -0.6788661152 0.07838962
DATATRAK INTERNATIONAL INC                  -0.4611320213 0.07838962
DATAWATCH CORP                              -0.4566590676 0.07838962
DATAWORKS CORP                              -0.6123161631 0.07838962
DAVIDSON & ASSOCIATES INC                   -0.1682915680 0.07838962
Dayforce, Inc.                              -0.5170445192 0.07838962
DDI CORP                                    -0.4888200804 0.07838962
Dealertrack Technologies, Inc               -0.5717022202 0.07838962
DecisionPoint Systems, Inc.                  0.0361061177 0.07838962
Definitive Healthcare Corp.                 -0.5101420250 0.07838962
DELL INC                                    -0.4486272313 0.07838962
Dell Technologies Inc.                      -0.3896230045 0.07838962
DeltaSoft Corp                              -0.3822604108 0.07838962
DELTEK, INC                                 -0.5420429412 0.07838962
DemandTec, Inc.                             -0.3495296277 0.07838962
Demandware Inc                              -0.5065065871 0.07838962
DESCARTES SYSTEMS GROUP INC                 -0.4848937105 0.07838962
DETAILS INC                                 -0.6268357817 0.07838962
DETERMINE, INC.                             -0.5246870032 0.07838962
DIALOG SEMICONDUCTOR PLC                     0.0921783124 0.07838962
DIALOGIC CORP                               -0.1591593360 0.07838962
Diamond Lane, Inc.                          -0.4840389769 0.07838962
DIEBOLD NIXDORF, Inc                        -0.4471131151 0.07838962
DIGI INTERNATIONAL INC                      -0.3538947188 0.07838962
DIGIMARC CORP                               -0.4152271477 0.07838962
DIGITAL LINK CORP                           -0.4944564487 0.07838962
Digital Systems, Inc.                       -0.4899176442 0.07838962
Diligent Corp                               -0.4763927654 0.07838962
DIRTT ENVIRONMENTAL SOLUTIONS LTD           -0.4502384838 0.07838962
DISH LTD                                    -0.5146713739 0.07838962
DIVX INC                                    -0.5746683261 0.07838962
DMI INC /CO/                                -0.4966863381 0.07838962
Docebo Inc.                                 -0.5369008973 0.07838962
DOCUSIGN, INC.                              -0.4813728199 0.07838962
DOMO, INC.                                  -0.4292243883 0.07838962
DOT HILL SYSTEMS CORP                        0.1119073182 0.07838962
Dot VN, Inc.                                -0.4253759935 0.07838962
Doximity, Inc.                              -0.4584127092 0.07838962
DRI CORP                                    -0.3197856290 0.07838962
DROPBOX, INC.                               -0.4760671957 0.07838962
DRS COMMUNICATIONS CO LLC                   -0.4343593833 0.07838962
DRS TECHNOLOGIES INC                         0.1081310324 0.07838962
