$contributor.employer.matched
                                                   (Intercept)    cycle2020
Akoya Biosciences, Inc.                          -0.2707329433 0.0004840761
Akrion, Inc.                                     -0.0509854954 0.0004840761
Akston Biosciences Corp                           0.4314770448 0.0004840761
Aktis Oncology, Inc.                             -0.2233547480 0.0004840761
AKUMIN INC.                                      -0.2876013580 0.0004840761
AKZO NOBEL NV                                    -0.2225240931 0.0004840761
AL ENTERTAINMENT INC                             -0.0742698648 0.0004840761
ALABAMA POWER CO                                 -0.0577473718 0.0004840761
ALABASTER CORP                                   -0.2490853780 0.0004840761
Alamar Biosciences, Inc.                         -0.2342997640 0.0004840761
ALAMO FINANCIAL SERVICES INC                     -0.2630139230 0.0004840761
ALAMO GROUP INC                                   0.1908910289 0.0004840761
ALAMO RENT A CAR INC                             -0.1645551340 0.0004840761
Alarum Technologies Ltd.                         -0.1894166526 0.0004840761
ALASKA AIR GROUP, INC.                           -0.0739849157 0.0004840761
ALASKA AIRLINES INC                              -0.1556930667 0.0004840761
ALBANY MOLECULAR RESEARCH INC                    -0.2014064444 0.0004840761
ALBEMARLE CORP                                   -0.1721805841 0.0004840761
Albertsons Companies, Inc.                       -0.2550051873 0.0004840761
ALBIREO PHARMA, INC.                             -0.1759126116 0.0004840761
ALC COMMUNICATIONS CORP                          -0.2279422097 0.0004840761
ALCAN INC                                        -0.1140409687 0.0004840761
ALCATEL LUCENT                                   -0.2126298087 0.0004840761
ALCATEL-LUCENT USA INC.                          -0.2667208434 0.0004840761
Alchemia LTD                                     -0.1898841199 0.0004840761
ALCO STORES INC                                  -0.1313505213 0.0004840761
ALCO, INC.                                       -0.1165909869 0.0004840761
Alcoa Corp                                       -0.3198362494 0.0004840761
ALCON INC                                        -0.2352310343 0.0004840761
ALDER BIOPHARMACEUTICALS INC                     -0.3056292934 0.0004840761
Aldeyra Therapeutics, Inc.                       -0.1595915673 0.0004840761
Alector, Inc.                                    -0.1071305316 0.0004840761
ALERE INC.                                       -0.2194214947 0.0004840761
ALERE WELLBEING, INC.                            -0.1597160423 0.0004840761
Aleris Corp                                      -0.0144608876 0.0004840761
Aleris International, Inc.                        0.9787261453 0.0004840761
AlerisLife Inc.                                  -0.1929846263 0.0004840761
ALERUS FINANCIAL CORP                            -0.1162120397 0.0004840761
Alexander & Baldwin, Inc.                         0.0355804617 0.0004840761
