$contributor.employer.matched
                                                   (Intercept)  cycle2020
ALASKA AIRLINES INC                              -0.3074043244 0.08296006
ALBANY MOLECULAR RESEARCH INC                    -0.3666696443 0.08296006
ALBEMARLE CORP                                   -0.3544161737 0.08296006
Albertsons Companies, Inc.                       -0.3915601434 0.08296006
ALBIREO PHARMA, INC.                             -0.4195682554 0.08296006
ALC COMMUNICATIONS CORP                          -0.3844542849 0.08296006
ALCAN INC                                        -0.2631815179 0.08296006
ALCATEL LUCENT                                   -0.3827783679 0.08296006
ALCATEL-LUCENT USA INC.                          -0.4604938712 0.08296006
Alchemia LTD                                     -0.3486962248 0.08296006
ALCO STORES INC                                  -0.2957127334 0.08296006
ALCO, INC.                                       -0.2580277202 0.08296006
Alcoa Corp                                       -0.4697314120 0.08296006
ALCON INC                                        -0.3900501525 0.08296006
ALDER BIOPHARMACEUTICALS INC                     -0.4755256109 0.08296006
Aldeyra Therapeutics, Inc.                       -0.3187418136 0.08296006
Alector, Inc.                                    -0.2585784307 0.08296006
ALERE INC.                                       -0.3660047878 0.08296006
ALERE WELLBEING, INC.                            -0.3359810731 0.08296006
Aleris Corp                                      -0.1638987599 0.08296006
Aleris International, Inc.                        0.8569517530 0.08296006
AlerisLife Inc.                                  -0.3407348897 0.08296006
ALERUS FINANCIAL CORP                            -0.2664121176 0.08296006
Alexander & Baldwin, Inc.                        -0.2133762434 0.08296006
ALEXANDERS INC                                   -0.5263337185 0.08296006
ALEXANDRIA REAL ESTATE EQUITIES, INC.            -0.0249971631 0.08296006
ALEXION PHARMACEUTICALS, INC.                    -0.3833150647 0.08296006
ALFA CORP                                        -0.0943144085 0.08296006
Alfi, Inc.                                       -0.1199396836 0.08296006
Alibaba Group Holding Ltd                        -0.4346523927 0.08296006
ALIBRIS INC                                      -0.4103703174 0.08296006
ALICO, INC.                                      -0.1090498972 0.08296006
Alien Technology Corp                            -0.0667300478 0.08296006
ALIGN TECHNOLOGY INC                             -0.3530955932 0.08296006
Alignment Healthcare, Inc.                       -0.0486345399 0.08296006
Aligos Therapeutics, Inc.                        -0.5153867451 0.08296006
ALIMENTATION COUCHE TARD INC                      1.1559284981 0.08296006
ALIMERA SCIENCES INC                              0.1474996604 0.08296006
ALJ REGIONAL HOLDINGS INC                        -0.1397588837 0.08296006
ALKAMI TECHNOLOGY, INC.                          -0.4414599336 0.08296006
ALKERMES INC                                     -0.2923109948 0.08296006
ALLAIRE CORP                                     -0.3305787286 0.08296006
Allakos Inc.                                     -0.6265212912 0.08296006
ALLBRITTON COMMUNICATIONS CO                     -0.2592766868 0.08296006
ALLEGIANCE CORP                                  -0.4611501927 0.08296006
ALLEGIANCY, LLC                                  -0.0334736875 0.08296006
Allegiant Travel CO                               0.1339438320 0.08296006
Allegion plc                                     -0.3857045920 0.08296006
ALLEGRO MICROSYSTEMS, INC.                       -0.2244693772 0.08296006
Allegro Ophthalmics, LLC                         -0.2381377439 0.08296006
ALLEN ENERGY CO                                   1.1422306127 0.08296006
ALLEN ORGAN CO                                   -0.1845092054 0.08296006
Allena Pharmaceuticals, Inc.                     -0.3916243942 0.08296006
ALLERGAN INC                                     -0.3043193263 0.08296006
ALLERGY RESEARCH GROUP INC                       -0.3208684956 0.08296006
ALLETE INC                                       -0.3773865197 0.08296006
ALLIANCE ENTERTAINMENT CORP                      -0.4654732861 0.08296006
ALLIANCE FINANCIAL CORP                          -0.4183676480 0.08296006
ALLIANCE HEALTH INC                              -0.3813147505 0.08296006
Alliance HealthCare Services, Inc                -0.4545517184 0.08296006
ALLIANCE HOLDING CO                              -0.6550540873 0.08296006
ALLIANCE LAUNDRY CORP                            -0.1216151936 0.08296006
ALLIANCE LAUNDRY SYSTEMS LLC                     -0.1269079768 0.08296006
ALLIANCE MEDICAL CORP                             0.0137106477 0.08296006
ALLIANCE RECOVERY CORP                            0.8078123532 0.08296006
ALLIANCE RESOURCE PARTNERS LP                    -0.4567781294 0.08296006
ALLIANCE RESOURCES CORP                          -0.2983490088 0.08296006
ALLIANT ENERGY CORP                               0.0846632854 0.08296006
ALLIANZ SE                                       -0.3981423582 0.08296006
Allied Corp.                                     -0.1686561034 0.08296006
ALLIED DIGITAL INC                               -0.1104532035 0.08296006
ALLIED ENERGY Corp                                0.2674681051 0.08296006
ALLIED GROUP INC                                 -0.0291631162 0.08296006
ALLIED HEALTHCARE PRODUCTS INC                    0.3582934171 0.08296006
ALLIED IRISH BANKS PLC                           -0.1959582309 0.08296006
ALLIED RESOURCES INC                             -0.4214911197 0.08296006
ALLIED SECURITY INC                              -0.2653511922 0.08296006
ALLIED VAN LINES INC                             -0.3051607758 0.08296006
Allies Ltd                                       -0.3170123233 0.08296006
Allogene Therapeutics, Inc.                      -0.4518908426 0.08296006
Allot Ltd.                                       -0.3126232833 0.08296006
ALLOY INC                                        -0.3836639501 0.08296006
ALLSTATE CORP                                    -0.3978221323 0.08296006
ALLSTATE FINANCIAL CORP                          -0.2922460611 0.08296006
ALLSTATES WORLDCARGO INC                         -0.5956514452 0.08296006
ALLSTREAM INC                                    -0.3286266051 0.08296006
ALLTEL CORP                                      -0.0535792118 0.08296006
ALLURION TECHNOLOGIES, INC.                      -0.5010144863 0.08296006
ALLWASTE INC                                     -0.4021702700 0.08296006
Ally Financial Inc.                              -0.4123565843 0.08296006
Alma Lasers Ltd.                                 -0.4294619523 0.08296006
Almonty Industries Inc.                           1.5887870180 0.08296006
ALMOST FAMILY INC                                -0.2688621999 0.08296006
