$contributor.employer.matched
                                                   (Intercept)  cycle2020
AIH INC                                          -0.4885647078 0.08296017
AIM ImmunoTech Inc.                              -0.7128466698 0.08296017
Aimmune Therapeutics, Inc.                       -0.3900566454 0.08296017
Air China LTD                                    -0.3382957241 0.08296017
AIR ENERGY INC                                   -0.4188329525 0.08296017
AIR INDUSTRIES GROUP                             -0.3634068051 0.08296017
AIR METHODS CORP                                 -0.0656668738 0.08296017
Air Products & Chemicals, Inc.                   -0.3620762472 0.08296017
AIR T INC                                        -0.3427247719 0.08296017
Airbnb, Inc.                                     -0.4006225639 0.08296017
Airborne Systems NA Inc.                         -0.3100251758 0.08296017
Airborne Systems North America of CA Inc.        -0.4169203634 0.08296017
Aircastle LTD                                    -0.6041792460 0.08296017
AIRCRAFT SERVICE INTERNATIONAL GROUP INC         -0.5773216987 0.08296017
AIRGAIN INC                                      -0.2472981439 0.08296017
AIRGAS INC                                       -0.3106598817 0.08296017
AIRNET SYSTEMS INC                               -0.2088024410 0.08296017
AIRPORT HOTELS LLC                               -0.3215828398 0.08296017
AIRSPAN NETWORKS INC                              0.0458489604 0.08296017
AIRTRAN AIRWAYS INC                              -0.5569340899 0.08296017
AIRVANA INC                                      -0.3772626291 0.08296017
AIRWAVES INC                                     -0.3443223047 0.08296017
AIRWAYS CORP                                     -0.4194190676 0.08296017
AIRXCEL INC                                      -0.1685072725 0.08296017
Ajinomoto Co Inc                                 -0.2076616878 0.08296017
AK STEEL CORP                                    -0.4065896999 0.08296017
AKAMAI TECHNOLOGIES INC                          -0.4343763045 0.08296017
AKANDA CORP.                                     -0.3438435706 0.08296017
Akari Therapeutics Plc                           -0.4558540843 0.08296017
AKCEA THERAPEUTICS, INC.                         -0.3784632759 0.08296017
Akebia Therapeutics, Inc.                        -0.1694844200 0.08296017
Akero Therapeutics, Inc.                         -0.3555854645 0.08296017
AKI INC                                          -0.3540594048 0.08296017
Akili, Inc.                                      -0.3404684479 0.08296017
AKORN INC                                        -0.3854079106 0.08296017
Akouos, Inc.                                     -0.4260479546 0.08296017
Akoya Biosciences, Inc.                          -0.4405601221 0.08296017
Akrion, Inc.                                     -0.2161726744 0.08296017
Akston Biosciences Corp                           0.3211438267 0.08296017
Aktis Oncology, Inc.                             -0.3784551336 0.08296017
AKUMIN INC.                                      -0.4414538975 0.08296017
AKZO NOBEL NV                                    -0.3808469489 0.08296017
AL ENTERTAINMENT INC                             -0.2170980778 0.08296017
ALABAMA POWER CO                                 -0.2143330850 0.08296017
ALABASTER CORP                                   -0.3986491975 0.08296017
Alamar Biosciences, Inc.                         -0.3883485735 0.08296017
ALAMO FINANCIAL SERVICES INC                     -0.4253941145 0.08296017
ALAMO GROUP INC                                  -0.0001846895 0.08296017
ALAMO RENT A CAR INC                             -0.3237860935 0.08296017
Alarum Technologies Ltd.                         -0.3463306589 0.08296017
ALASKA AIR GROUP, INC.                           -0.2479854573 0.08296017
ALASKA AIRLINES INC                              -0.3074047722 0.08296017
ALBANY MOLECULAR RESEARCH INC                    -0.3666733346 0.08296017
ALBEMARLE CORP                                   -0.3544166216 0.08296017
Albertsons Companies, Inc.                       -0.3915608235 0.08296017
ALBIREO PHARMA, INC.                             -0.4195832324 0.08296017
ALC COMMUNICATIONS CORP                          -0.3844625594 0.08296017
ALCAN INC                                        -0.2631818313 0.08296017
ALCATEL LUCENT                                   -0.3827785157 0.08296017
ALCATEL-LUCENT USA INC.                          -0.4605050440 0.08296017
Alchemia LTD                                     -0.3486978019 0.08296017
ALCO STORES INC                                  -0.2957183433 0.08296017
ALCO, INC.                                       -0.2580279104 0.08296017
Alcoa Corp                                       -0.4697318582 0.08296017
ALCON INC                                        -0.3900506451 0.08296017
ALDER BIOPHARMACEUTICALS INC                     -0.4755284728 0.08296017
Aldeyra Therapeutics, Inc.                       -0.3187512478 0.08296017
Alector, Inc.                                    -0.2585788333 0.08296017
ALERE INC.                                       -0.3660055750 0.08296017
ALERE WELLBEING, INC.                            -0.3359900613 0.08296017
Aleris Corp                                      -0.1638980692 0.08296017
Aleris International, Inc.                        0.8570251060 0.08296017
AlerisLife Inc.                                  -0.3407444976 0.08296017
ALERUS FINANCIAL CORP                            -0.2664126594 0.08296017
Alexander & Baldwin, Inc.                        -0.2133761537 0.08296017
ALEXANDERS INC                                   -0.5263423453 0.08296017
ALEXANDRIA REAL ESTATE EQUITIES, INC.            -0.0249951708 0.08296017
ALEXION PHARMACEUTICALS, INC.                    -0.3833157546 0.08296017
ALFA CORP                                        -0.0943117706 0.08296017
Alfi, Inc.                                       -0.1199155317 0.08296017
Alibaba Group Holding Ltd                        -0.4346552007 0.08296017
