$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
BLACKLINE, INC.                             -0.486456180 0.1212588 -0.004727251
Blaize, Inc.                                -0.473490576 0.1212588 -0.004727251
Blend Labs, Inc.                            -0.529769437 0.1212588 -0.004727251
Block, Inc.                                 -0.569825662 0.1212588 -0.004727251
BLUE BRIDGE CAPITAL, INC.                    0.327327812 0.1212588 -0.004727251
BLUE COAT SYSTEMS INC                       -0.526888425 0.1212588 -0.004727251
Blue Coat, Inc.                             -0.524846551 0.1212588 -0.004727251
BMC SOFTWARE INC                            -0.534944233 0.1212588 -0.004727251
BOSTON TECHNOLOGY INC                       -0.526517967 0.1212588 -0.004727251
BOTTOMLINE TECHNOLOGIES INC                 -0.583987507 0.1212588 -0.004727251
bowmo, Inc.                                 -0.410478410 0.1212588 -0.004727251
BOX INC                                     -0.586232512 0.1212588 -0.004727251
BPO Management Services, Inc.               -0.490450115 0.1212588 -0.004727251
Brand Engagement Network Inc.                0.068902871 0.1212588 -0.004727251
Braze, Inc.                                 -0.627763145 0.1212588 -0.004727251
BRC HOLDINGS INC                            -0.341943091 0.1212588 -0.004727251
BRIDGE TECHNOLOGY INC                       -0.573542981 0.1212588 -0.004727251
Bridgeline Digital, Inc.                    -0.463729717 0.1212588 -0.004727251
Bright Mountain Media, Inc.                 -0.592891608 0.1212588 -0.004727251
Brightways Corp                             -0.528330907 0.1212588 -0.004727251
BRILLIANT DIGITAL ENTERTAINMENT INC         -0.512629788 0.1212588 -0.004727251
BROADBANDNOW INC                            -0.491964204 0.1212588 -0.004727251
BROADCASTER INC                             -0.491156662 0.1212588 -0.004727251
BROADCOM CORP                               -0.486118326 0.1212588 -0.004727251
BROADSOFT, INC.                             -0.466431104 0.1212588 -0.004727251
BROADVISION INC                             -0.397807495 0.1212588 -0.004727251
BROCADE COMMUNICATIONS SYSTEMS INC          -0.445249969 0.1212588 -0.004727251
Bumble Inc.                                 -0.606400071 0.1212588 -0.004727251
Business Warrior Corp                       -0.459089337 0.1212588 -0.004727251
C3.ai, Inc.                                 -0.219297386 0.1212588 -0.004727251
CA, INC.                                    -0.571605620 0.1212588 -0.004727251
CADENCE DESIGN SYSTEMS INC                  -0.558290983 0.1212588 -0.004727251
CAL INTERNATIONAL LTD                       -0.561506461 0.1212588 -0.004727251
CalAmp Corp.                                -0.457930012 0.1212588 -0.004727251
CALLIDUS SOFTWARE INC                       -0.504694445 0.1212588 -0.004727251
Cambium Networks Corp                       -0.381312413 0.1212588 -0.004727251
Canadian Solar Inc.                         -0.535921670 0.1212588 -0.004727251
CANTALOUPE, INC.                            -0.624063888 0.1212588 -0.004727251
CAPRI CORP                                  -0.603775997 0.1212588 -0.004727251
Carbon Black, Inc.                          -0.495824958 0.1212588 -0.004727251
Cardlytics, Inc.                            -0.594637528 0.1212588 -0.004727251
CARECENTRIC INC                             -0.564698496 0.1212588 -0.004727251
CareCloud, Inc.                             -0.666655004 0.1212588 -0.004727251
CareView Communications Inc                 -0.548430586 0.1212588 -0.004727251
CARLETON CORP                               -0.572883059 0.1212588 -0.004727251
Casa Systems Inc                            -0.519203245 0.1212588 -0.004727251
CASCADE TECHNOLOGIES CORP                   -0.327454093 0.1212588 -0.004727251
CATAPULT COMMUNICATIONS CORP                -0.578962868 0.1212588 -0.004727251
CAVIUM, INC.                                -0.543402537 0.1212588 -0.004727251
CDC CORP                                    -0.581372310 0.1212588 -0.004727251
CDC Software CORP                           -0.567968441 0.1212588 -0.004727251
CELERITY SOLUTIONS INC                      -0.364446944 0.1212588 -0.004727251
