$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
CrowdStrike Holdings, Inc.                  -0.592199496 0.1212588 -0.004727353
Crown Electrokinetics Corp.                 -0.401205909 0.1212588 -0.004727353
CS Disco, Inc.                              -0.602560762 0.1212588 -0.004727353
CSI TECHNOLOGIES INC                        -0.737470651 0.1212588 -0.004727353
CSRA Inc.                                   -0.652653680 0.1212588 -0.004727353
CTS CORP                                    -0.417721540 0.1212588 -0.004727353
CVC INC                                     -0.314682051 0.1212588 -0.004727353
CVENT INC                                   -0.606519616 0.1212588 -0.004727353
CYAN INC                                    -0.250179411 0.1212588 -0.004727353
CyberArk Software Ltd.                      -0.484493404 0.1212588 -0.004727353
CYBERLUX CORP                                0.028449611 0.1212588 -0.004727353
Cycurion, Inc.                              -0.552348784 0.1212588 -0.004727353
CYNET INC                                   -0.579381792 0.1212588 -0.004727353
Cyngn Inc.                                  -0.532347896 0.1212588 -0.004727353
CYREN Ltd.                                  -0.676481362 0.1212588 -0.004727353
Cyxtera Technologies, Inc.                  -0.565170484 0.1212588 -0.004727353
DAEGIS INC.                                 -0.601042823 0.1212588 -0.004727353
DANGER INC                                  -0.608814517 0.1212588 -0.004727353
DAS Inc                                     -0.569179287 0.1212588 -0.004727353
DATA DIMENSIONS INC                         -0.498959687 0.1212588 -0.004727353
Data443 Risk Mitigation, Inc.               -0.444022897 0.1212588 -0.004727353
DATACARD CORP                               -0.384627933 0.1212588 -0.004727353
Datadog, Inc.                               -0.603239854 0.1212588 -0.004727353
DATALINK CORP                               -0.648813338 0.1212588 -0.004727353
DATAMETRICS CORP                            -0.069356799 0.1212588 -0.004727353
DATAPATH INC                                -0.590194249 0.1212588 -0.004727353
DataStax, Inc.                              -0.605068411 0.1212588 -0.004727353
DATATEC SYSTEMS INC                         -0.772761663 0.1212588 -0.004727353
DATATRAK INTERNATIONAL INC                  -0.521585103 0.1212588 -0.004727353
DATAWATCH CORP                              -0.538961834 0.1212588 -0.004727353
DATAWORKS CORP                              -0.679287228 0.1212588 -0.004727353
DAVIDSON & ASSOCIATES INC                   -0.239298752 0.1212588 -0.004727353
Dayforce, Inc.                              -0.593444313 0.1212588 -0.004727353
DDI CORP                                    -0.563202739 0.1212588 -0.004727353
Dealertrack Technologies, Inc               -0.639920036 0.1212588 -0.004727353
DecisionPoint Systems, Inc.                 -0.039643044 0.1212588 -0.004727353
Definitive Healthcare Corp.                 -0.619950244 0.1212588 -0.004727353
DELL INC                                    -0.526001816 0.1212588 -0.004727353
Dell Technologies Inc.                      -0.464629347 0.1212588 -0.004727353
DeltaSoft Corp                              -0.476624041 0.1212588 -0.004727353
DELTEK, INC                                 -0.618590371 0.1212588 -0.004727353
DemandTec, Inc.                             -0.449423283 0.1212588 -0.004727353
Demandware Inc                              -0.595003881 0.1212588 -0.004727353
DESCARTES SYSTEMS GROUP INC                 -0.573722397 0.1212588 -0.004727353
DETAILS INC                                 -0.689073411 0.1212588 -0.004727353
DETERMINE, INC.                             -0.600038890 0.1212588 -0.004727353
DIALOG SEMICONDUCTOR PLC                     0.010112297 0.1212588 -0.004727353
DIALOGIC CORP                               -0.218941924 0.1212588 -0.004727353
Diamond Lane, Inc.                          -0.568623962 0.1212588 -0.004727353
DIEBOLD NIXDORF, Inc                        -0.545186300 0.1212588 -0.004727353
DIGI INTERNATIONAL INC                      -0.444955994 0.1212588 -0.004727353
DIGIMARC CORP                               -0.494159009 0.1212588 -0.004727353
DIGITAL LINK CORP                           -0.574221908 0.1212588 -0.004727353
Digital Systems, Inc.                       -0.565241700 0.1212588 -0.004727353
Diligent Corp                               -0.551336768 0.1212588 -0.004727353
DIRTT ENVIRONMENTAL SOLUTIONS LTD           -0.524778925 0.1212588 -0.004727353
DISH LTD                                    -0.585854545 0.1212588 -0.004727353
DIVX INC                                    -0.657464511 0.1212588 -0.004727353
DMI INC /CO/                                -0.573208423 0.1212588 -0.004727353
Docebo Inc.                                 -0.609546232 0.1212588 -0.004727353
DOCUSIGN, INC.                              -0.555395082 0.1212588 -0.004727353
DOMO, INC.                                  -0.520897465 0.1212588 -0.004727353
DOT HILL SYSTEMS CORP                        0.021924912 0.1212588 -0.004727353
Dot VN, Inc.                                -0.505444784 0.1212588 -0.004727353
